-74.5234	20000
-73.7299	19525.9453
-72.8929	19061.3008
-72.0201	18605.9258
-71.1298	18159.6816
-70.284	17722.4277
-69.3716	17294.0312
-68.4685	16874.3535
-67.4981	16463.2637
-66.5714	16060.627
-65.55	15666.3135
-64.5284	15280.1924
-63.3501	14902.1367
-62.2968	14532.0195
-61.2044	14169.7139
-59.9905	13815.0967
-58.7499	13468.0439
-57.4831	13128.4346
-56.2867	12796.1484
-54.8978	12471.0654
-53.5566	12153.0684
-52.0119	11842.042
-50.4794	11537.8691
-49.164	11240.4365
-47.5694	10949.6318
-45.9911	10665.3428
-44.1929	10387.4609
-42.5759	10115.876
-40.7057	9850.4814
-38.7854	9591.1699
-36.6534	9337.8359
-34.9179	9090.377
-32.9302	8848.6885
-30.8633	8612.6699
-28.4332	8382.2217
-25.1439	8157.2432
-22.7045	7937.6372
-20.081	7723.3071
-17.3673	7514.1567
-15.5156	7310.0918
-12.3798	7111.019
-7.2698	6916.8462
-6.3624	6727.4824
0	6362.8232
2.7457	6187.3521
6.1171	6016.3364
8.9312	5849.6919
13.3562	5687.3335
17.5257	5529.1787
22.3812	5375.145
26.1977	5225.1514
31.4288	5079.1172
35.7691	4936.9644
40.2769	4798.6152
45.2886	4663.9917
50.3585	4533.0195
55.8774	4405.6226
61.1815	4281.728
67.2826	4161.2627
73.5622	4044.1553
80.1411	3930.3347
86.9307	3819.7314
94.0817	3712.2771
101.8034	3607.9033
109.7923	3506.5439
118.426	3408.1331
127.4195	3312.6057
137.2768	3219.8982
147.7114	3129.9478
158.5092	3042.6919
170.1385	2958.0703
182.2932	2876.0225
195.283	2796.4893
208.954	2719.4126
223.3487	2644.7349
238.7141	2572.3999
254.7432	2502.3521
271.1996	2434.5366
288.9979	2368.8997
307.3979	2305.3887
326.3368	2243.9512
346.132	2184.5361
366.8992	2127.0933
387.8056	2071.573
425.4029	1966.1063
455.6566	1916.0651
477.6787	1867.7567
500.8738	1821.1359
523.5621	1776.1578
546.6619	1732.7789
569.5836	1690.9559
591.8805	1650.6469
613.4009	1611.8101
635.3716	1574.4049
656.9207	1538.3914
677.0439	1503.7303
696.0246	1470.3833
713.4918	1438.3125
731.905	1407.4811
748.8826	1377.8527
764.2053	1349.3917
776.8744	1322.0635
787.7812	1295.8336
797.4213	1270.6688
807.0073	1246.5363
814.2827	1223.4039
819.6542	1201.2404
824.9104	1180.0148
827.8732	1159.6971
830.2808	1140.2579
830.8729	1121.6683
832.9595	1103.9004
834.0015	1086.9263
834.1678	1070.7194
834.5527	1055.2531
835.0644	1040.502
835.6263	1026.4408
836.3011	1013.0452
836.323	0
836.3656	988.1553
836.4832	805.6949
836.4868	600
836.487	819.4559
836.5471	200
836.6308	400
836.6337	823.6266
836.7532	976.6151
836.8166	800.0002
836.8232	821.4603
836.9123	805.0095
836.9223	806.4534
836.9236	800.0013
836.9266	800
836.9711	801.113
836.9855	800.0074
836.9921	800.0005
837.0354	955.2328
837.038	800.2716
837.0427	825.9644
837.079	965.6481
837.0791	800.424
837.1233	800.3411
837.1248	848.0192
837.1298	800.214
837.1436	1000.2911
837.1943	800.1666
837.198	800.0117
837.2553	800.128
837.2684	852.1216
837.2918	800.0025
837.3117	800.0045
837.3148	844.1794
837.319	817.6041
837.3347	800.0721
837.3684	800.0179
837.3762	834.1088
837.3813	800.0969
837.3895	800.0264
837.3932	801.3225
837.3965	856.4996
837.4067	910.7126
837.4173	800.7734
837.423	800.9308
837.4333	800.5223
837.4627	800.0527
837.4703	935.9734
837.485	837.2363
837.494	945.3481
837.5027	802.8941
837.5034	801.8361
837.5211	861.1669
837.5448	866.1377
837.5476	803.3387
837.5698	889.3539
837.5728	801.5625
837.5887	804.3917
837.5963	927.0889
837.6052	831.1949
837.6194	800.0377
837.621	800.638
837.6261	903.1836
837.6351	828.4838
837.6528	840.5892
837.6599	802.4982
837.6672	807.2906
837.6995	803.8364
837.7062	802.1468
837.7095	896.0698
837.723	815.8961
837.7231	918.675
837.7302	877.0485
837.798	808.2125
837.8655	871.4266
837.8885	814.3233
837.9103	809.2255
837.9108	810.336
837.9115	811.5509
837.9733	883.0189
838.0549	812.8775
